season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,year,month,day
3,0,1,1,27.88,31.82,83,6.0032,5,30,2011,7,6
3,0,0,1,36.9,40.91,39,19.9995,197,253,2012,8,4
3,0,1,1,32.8,35.605,41,16.9979,56,220,2012,7,11
2,0,0,2,14.76,18.18,93,7.0015,3,2,2011,4,10
4,0,0,1,13.12,15.15,45,16.9979,35,165,2011,11,19
1,0,1,1,13.94,16.665,25,8.9981,7,256,2012,2,13
4,0,1,3,13.94,14.395,87,43.0006,1,25,2011,12,7
3,1,0,1,35.26,39.395,41,15.0013,164,330,2012,7,4
4,0,1,2,25.42,27.275,94,7.0015,28,212,2012,10,2
3,0,1,1,29.52,34.09,62,0.0,0,7,2012,7,17
1,0,1,1,9.84,9.85,65,27.9993,3,97,2011,2,8
3,0,1,1,32.8,34.85,31,15.0013,81,219,2012,8,16
1,0,1,1,16.4,20.455,43,19.0012,11,159,2012,2,15
1,1,0,3,6.56,7.575,80,12.998,3,24,2011,1,17
4,0,1,1,22.96,26.515,83,7.0015,21,212,2012,10,19
3,0,0,1,32.8,36.365,46,19.9995,227,304,2012,8,11
1,0,1,2,24.6,31.06,40,30.0026,21,395,2012,3,8
4,0,1,1,22.96,26.515,46,8.9981,39,250,2011,11,8
1,0,1,2,10.66,13.635,48,8.9981,5,119,2012,2,10
2,0,0,1,27.06,31.06,36,8.9981,120,249,2011,6,4
2,0,1,2,23.78,27.275,83,7.0015,28,147,2012,5,2
3,0,1,1,31.98,35.605,49,12.998,103,769,2012,7,10
3,0,1,1,31.16,33.335,35,16.9979,59,128,2011,8,11
3,0,1,1,34.44,38.635,41,0.0,32,139,2011,7,7
2,0,0,2,13.94,17.425,81,6.0032,8,10,2012,4,1
2,0,0,1,27.88,31.82,61,11.0014,69,161,2012,6,9
2,0,1,1,14.76,16.665,40,22.0028,81,157,2012,4,6
3,0,1,1,31.98,34.09,29,6.0032,74,497,2011,8,11
2,0,0,1,30.34,34.09,62,8.9981,59,171,2011,6,11
1,0,1,2,9.02,11.365,82,12.998,1,124,2011,1,18
3,0,1,1,33.62,38.635,52,8.9981,77,223,2012,7,6
2,0,1,1,17.22,21.21,67,11.0014,17,100,2011,4,13
4,0,1,3,18.86,22.725,94,0.0,7,130,2011,11,16
1,0,1,1,9.02,11.365,51,11.0014,0,1,2012,3,5
4,0,1,1,17.22,21.21,44,7.0015,46,450,2012,11,9
4,0,0,1,15.58,19.695,66,11.0014,3,7,2011,10,16
3,0,1,2,26.24,30.305,65,15.0013,102,740,2012,9,17
2,0,0,1,18.86,22.725,82,7.0015,6,16,2012,6,3
3,0,1,1,32.8,37.12,52,19.0012,34,139,2011,8,18
1,0,1,3,18.86,22.725,82,12.998,5,108,2012,3,13
3,0,0,1,27.06,31.06,41,0.0,177,393,2012,9,16
4,0,1,1,23.78,27.275,56,6.0032,81,240,2012,12,3
1,1,0,1,8.2,9.09,55,22.0028,20,165,2012,1,16
3,0,0,1,26.24,30.305,69,7.0015,101,232,2011,9,11
